font_family,recommended_css_usage
WixUFont-888fcd_86491c1ffad84869a23bf64d222f7c5d,font-family: 'WixUFont-888fcd_86491c1ffad84869a23bf64d222f7c5d', sans-serif;
WixUFont-888fcd_bf9f035a936944e0b4a5af39fcdcf4d1,font-family: 'WixUFont-888fcd_bf9f035a936944e0b4a5af39fcdcf4d1', sans-serif;
WixUFont-8b565e_3e9cf08657a34cf1afc4aa4dee7333e8,font-family: 'WixUFont-8b565e_3e9cf08657a34cf1afc4aa4dee7333e8', sans-serif;
WixUFont-8b565e_87d89f3d257842ebb4e1e88c6ce59d83,font-family: 'WixUFont-8b565e_87d89f3d257842ebb4e1e88c6ce59d83', sans-serif;
WixUFont-8b565e_8d99849c5592478782098af215fe3581,font-family: 'WixUFont-8b565e_8d99849c5592478782098af215fe3581', sans-serif;
WixUFont-8b565e_e3c1088bf69b4ac899be3544a5852a4b,font-family: 'WixUFont-8b565e_e3c1088bf69b4ac899be3544a5852a4b', sans-serif;
