category,asset_name,source_url,bytes,output_file
images,4ff282_ca54c95a6f8b4dea968842c401e50ca3~mv2.png,https://static.wixstatic.com/media/4ff282_ca54c95a6f8b4dea968842c401e50ca3~mv2.png,936770,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/1166ca0251_4ff282_ca54c95a6f8b4dea968842c401e50ca3~mv2.png
images,4ff282_d5f30aaa1e27453c82b2955d45da7fba~mv2.png,https://static.wixstatic.com/media/4ff282_d5f30aaa1e27453c82b2955d45da7fba~mv2.png,17423,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/5a3fa7a20a_4ff282_d5f30aaa1e27453c82b2955d45da7fba~mv2.png
images,4ff282_dace3fc48d064040ad46c308905e49a7~mv2.png,https://static.wixstatic.com/media/4ff282_dace3fc48d064040ad46c308905e49a7~mv2.png,473612,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/e702c50e32_4ff282_dace3fc48d064040ad46c308905e49a7~mv2.png
images,4ff282_f1798a0d8b374d76a59df0f09ca7ef88~mv2.png,https://static.wixstatic.com/media/4ff282_f1798a0d8b374d76a59df0f09ca7ef88~mv2.png,504404,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/0080a4a3f8_4ff282_f1798a0d8b374d76a59df0f09ca7ef88~mv2.png
images,4ff282_f5dd51a5f90a48f18c0cadbc0a29814b~mv2.png,https://static.wixstatic.com/media/4ff282_f5dd51a5f90a48f18c0cadbc0a29814b~mv2.png,792844,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/9b1f1ee994_4ff282_f5dd51a5f90a48f18c0cadbc0a29814b~mv2.png
images,558159705_122162339252427340_8217230936412533971_n.jpg,https://static.wixstatic.com/media/4ff282_6d88025bdc89427b81d1309c40ff26e4~mv2.jpg/v1/crop/x_42%2Cy_175%2Cw_641%2Ch_627/fill/w_128%2Ch_125%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/558159705_122162339252427340_8217230936412533971_n.jpg,4740,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/09ade06ccf_558159705_122162339252427340_8217230936412533971_n.jpg
images,7fe14c5699f1272b13844330bea78567.jpg,https://static.wixstatic.com/media/4ff282_4adc48273eaf4003b2fe931cb95b013f~mv2.jpg/v1/fill/w_147%2Ch_221%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/7fe14c5699f1272b13844330bea78567.jpg,6841,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/f3690d07ea_7fe14c5699f1272b13844330bea78567.jpg
images,A_man_having_message_treatment.jpeg,https://static.wixstatic.com/media/11062b_d634754c3bcf467c86e412e63256f573~mv2.jpeg/v1/fill/w_147%2Ch_98%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/A%20man%20having%20message%20treatment.jpeg,3416,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/353b1ebcff_A_man_having_message_treatment.jpeg
images,Back_Pain_edited_edited.jpg,https://static.wixstatic.com/media/4ff282_5c6910d9d94c4499afea05e63bd4f7b2~mv2.jpg/v1/fill/w_147%2Ch_107%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_auto/Back%20Pain_edited_edited.jpg,2554,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/ea20ba3251_Back_Pain_edited_edited.jpg
images,Blog-Lumbar-Belt-to-Treat-Back-Pain-and-Not-Just-Ease-It_copy.png,https://static.wixstatic.com/media/4ff282_ff4aa0aca0da498685bf338c4ec59744~mv2.png/v1/fill/w_49%2Ch_40%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/Blog-Lumbar-Belt-to-Treat-Back-Pain-and-Not-Just-Ease-It%20copy.png,5253,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/856409fa6e_Blog-Lumbar-Belt-to-Treat-Back-Pain-and-Not-Just-Ease-It_copy.png
images,ChinesePaintingDragonGods_Cropped_copy.png,https://static.wixstatic.com/media/4ff282_e034ff19d8764a91b33bf60248f400f4~mv2.png/v1/fill/w_46%2Ch_45%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_auto/ChinesePaintingDragonGods_Cropped%20copy.png,5418,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/4ba62b9d43_ChinesePaintingDragonGods_Cropped_copy.png
images,Cupping_Treatment.jpg,https://static.wixstatic.com/media/11062b_50823653f9bb4794a1410e88fff3b6c6~mv2.jpg/v1/fill/w_147%2Ch_98%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/Cupping%20Treatment.jpg,2956,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/eb4d0dc3fa_Cupping_Treatment.jpg
images,DrAD_Medicine_Bottles_2026_Development_v7_Web_copy.png,https://static.wixstatic.com/media/4ff282_dace3fc48d064040ad46c308905e49a7~mv2.png/v1/crop/x_0%2Cy_995%2Cw_3869%2Ch_1842/fill/w_1618%2Ch_772%2Cfp_0.50_0.50%2Cq_90%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/DrAD_Medicine_Bottles_2026_Development_v7_Web%20copy.png,427617,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/f925189265_DrAD_Medicine_Bottles_2026_Development_v7_Web_copy.png
images,DrAd_Ad_Pregnant_Beauty_Shot_Studio_shutterstock_2646142001_Cut_Coloured_BlankForPage_Cut_.png,https://static.wixstatic.com/media/4ff282_b2c995a19e4c41f7aa4a201826e6a84f~mv2.png/v1/fill/w_49%2Ch_39%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_auto/DrAd_Ad_Pregnant_Beauty_Shot_Studio_shutterstock_2646142001_Cut_Coloured_BlankForPage_Cut_.png,4020,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/e040c5b912_DrAd_Ad_Pregnant_Beauty_Shot_Studio_shutterstock_2646142001_Cut_Coloured_BlankForPage_Cut_.png
images,Face_Roller.jpg,https://static.wixstatic.com/media/a382886ed8c34e9e91b5cc4c1383682f.jpg/v1/fill/w_147%2Ch_98%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/Face%20Roller.jpg,3137,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/c5b0e621bb_Face_Roller.jpg
images,Football_istockphoto-532325780-2048x2048_Coloured_5_copy.png,https://static.wixstatic.com/media/4ff282_f5dd51a5f90a48f18c0cadbc0a29814b~mv2.png/v1/crop/x_182%2Cy_680%2Cw_2224%2Ch_1059/fill/w_1618%2Ch_772%2Cfp_0.50_0.50%2Cq_90%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/Football_istockphoto-532325780-2048x2048_Coloured_5%20copy.png,593662,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/e6a2cbd93d_Football_istockphoto-532325780-2048x2048_Coloured_5_copy.png
images,Lilac_PlankGoogle_Version_2_copy_Flip.png,https://static.wixstatic.com/media/4ff282_378ca57efb074ac2bb0e9577af2b0978~mv2.png/v1/crop/x_59%2Cy_460%2Cw_1819%2Ch_866/fill/w_1618%2Ch_772%2Cfp_0.50_0.50%2Cq_90%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/Lilac_PlankGoogle_Version_2%20copy_Flip.png,417687,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/ed3255828d_Lilac_PlankGoogle_Version_2_copy_Flip.png
images,Lilac_Superman__Flip.png,https://static.wixstatic.com/media/4ff282_c10d8e28f9a64e178796cfdde94b06a9~mv2.png/v1/crop/x_0%2Cy_574%2Cw_1999%2Ch_951/fill/w_1618%2Ch_772%2Cfp_0.50_0.50%2Cq_90%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/Lilac_Superman_%20Flip.png,462905,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/ea6a7c2eda_Lilac_Superman__Flip.png
images,Man_Back_shutterstock_2408261523_50pc_Wider_copy.png,https://static.wixstatic.com/media/4ff282_57c8a7c10a034a63a8a7407fe08ad2d0~mv2.png/v1/fill/w_49%2Ch_49%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_auto/Man_Back_shutterstock_2408261523_50pc_Wider%20copy.png,5158,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/ddef72f42e_Man_Back_shutterstock_2408261523_50pc_Wider_copy.png
images,Nose_Band_Model_Green_copy.png,https://static.wixstatic.com/media/4ff282_9d68d069e1fc414a94d2946e9b1916c2~mv2.png/v1/fill/w_49%2Ch_66%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_auto/Nose_Band_Model_Green%20copy.png,10884,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/8d4d81e600_Nose_Band_Model_Green_copy.png
images,Pregnancy_Hands_Womens_HealthiStock-1366468183_copy.jpg,https://static.wixstatic.com/media/4ff282_cd4bcef12e18463cb3a610605b139e7b~mv2.jpg/v1/fill/w_147%2Ch_90%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/Pregnancy_Hands_Womens_HealthiStock-1366468183%20copy.jpg,2647,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/526d7b9949_Pregnancy_Hands_Womens_HealthiStock-1366468183_copy.jpg
images,Pressure_Point_Massage.jpeg,https://static.wixstatic.com/media/11062b_701ecff590564465a24fc9c5f63f848a~mv2.jpeg/v1/crop/x_511%2Cy_0%2Cw_2682%2Ch_2044/fill/w_106%2Ch_81%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/Pressure%20Point%20Massage.jpeg,3106,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/2ab7fa45aa_Pressure_Point_Massage.jpeg
